Date,Open,High,Low,Close,Volume
7/12/2010,48,48,47.5,47.5,10500
7/13/2010,46.75,46.75,43.75,44.5,16250
7/14/2010,44.5,44.5,41.5,41.5,6100
7/15/2010,41.75,43.75,37.5,40,56006
7/16/2010,41.25,43.75,41.25,43.75,44199
7/19/2010,43.75,45,43.75,44.5,13100
7/20/2010,43.75,43.75,42.5,43,23387
7/21/2010,42.5,46.25,42.5,46.25,37990
7/22/2010,45,46,45,45,8356
7/23/2010,45,46.25,45,46.25,6700
7/26/2010,45,46.25,45,46.25,15500
7/27/2010,45,46.25,45,45,11683
7/28/2010,45,47.5,45,46.75,14841
7/29/2010,47.5,47.5,46.25,46.25,13275
7/30/2010,48,48,46.25,47.5,15931
8/2/2010,46.25,47.5,45,45.25,10393
8/3/2010,47.5,47.5,45,46.25,17500
8/4/2010,45,46.25,45,46.25,5600
8/5/2010,45,46.25,45,46.25,1200
8/6/2010,46.25,46.25,46,46,6300
8/9/2010,46,46.25,46,46.25,12200
8/10/2010,45.5,45.5,45.5,45.5,500
8/11/2010,47,47,43.75,43.75,11501
8/12/2010,44.25,45,43.75,45,9395
8/13/2010,45,45,45,45,570
8/16/2010,43.75,44.75,43.5,43.5,13167
8/17/2010,43.75,43.75,42.5,42.5,3350
8/18/2010,42.5,44.5,42.5,42.5,20191
8/19/2010,42.5,42.5,41,42.5,9068
8/20/2010,43.75,43.75,39.5,43.75,10890
8/23/2010,42.5,43.5,42.25,42.5,6300
8/24/2010,41.25,41.25,39.5,39.5,1000
8/25/2010,41.25,41.25,39.5,40,7331
8/26/2010,40,40,38,38,7344
8/27/2010,38.5,38.75,38.25,38.5,21473
8/30/2010,38.75,40,38,38.75,41790
8/31/2010,39,40.75,39,39.5,9800
9/1/2010,38,39.5,38,39.25,2500
9/2/2010,39.25,39.25,37.5,37.5,16296
9/3/2010,37.5,43.75,37.5,42.5,32410
9/7/2010,42.5,43,40.75,42.5,23936
9/8/2010,43,43.75,43,43.75,10150
9/9/2010,46,46,43.25,43.5,16972
9/10/2010,45,47.5,43.75,43.75,21800
9/13/2010,44.25,44.75,44.25,44.25,11826
9/14/2010,44.75,47.25,44.75,45,24766
9/15/2010,45,46,44.25,44.25,25155
9/16/2010,44.5,46.25,44.25,44.25,30793
9/17/2010,48,49,46,48.75,194962
9/20/2010,49,50,46,48.25,53085
9/21/2010,47.5,50,47.25,50,65902
9/22/2010,49.75,56.25,49.63,55.5,109827
9/23/2010,56.25,66.25,55,60,134098
9/24/2010,61.25,63.5,61.25,62.5,84152
9/27/2010,61.25,63,60.25,62.5,61150
9/28/2010,62.5,63.75,60,62.5,37744
9/29/2010,64.5,65,60,65,46700
9/30/2010,65,65,62.5,65,19102
10/1/2010,65,67.5,63,66.25,39216
10/4/2010,68.75,71.25,66.25,71.25,63552
10/5/2010,71.25,82.5,71.25,81.25,183856
10/6/2010,81.25,82.5,77.5,82,125829
10/7/2010,81.75,82.5,79.5,81.25,113100
10/8/2010,82.5,86.25,80.25,82.5,126496
10/11/2010,83.75,83.75,77.5,77.5,45946
10/12/2010,77.25,77.25,69.25,75,91268
10/13/2010,75,77,72.5,73.75,23368
10/14/2010,73.75,75,65,70,70100
10/15/2010,72.5,72.5,71.25,71.25,18123
10/18/2010,73.75,76.25,73.25,73.75,32613
10/19/2010,73.25,75,73.25,75,19942
10/20/2010,75,75,73.75,74.25,27100
10/21/2010,75,76.25,74.5,75,42548
10/22/2010,75,77,75,77,29753
10/25/2010,75,77.5,75,75.75,51669
10/26/2010,75.75,77,73.75,76.25,66570
10/27/2010,76.25,76.25,73.75,75,20209
10/28/2010,73.75,75,72.25,72.25,13922
10/29/2010,71.25,77.5,71.25,76.25,80356
11/1/2010,76.25,77.25,73.75,74.5,23028
11/2/2010,75,76.25,74.75,76.25,29113
11/3/2010,76.25,76.25,75,76,74622
11/4/2010,76,76.25,71.25,73.5,55633
11/5/2010,75,83.75,75,83.75,154336
11/8/2010,85,87.5,82.75,86.75,103617
11/9/2010,87,87.5,77.5,77.5,66364
11/10/2010,78,81.25,77.5,80,21733
11/11/2010,81.25,82.75,77.5,78,29040
11/12/2010,77.5,86.25,77.5,81.75,30690
11/15/2010,81.75,86.75,81.25,86.25,32158
11/16/2010,85.75,86.25,83.75,86.25,31932
11/17/2010,85.5,86.5,83.75,86.5,106268
11/18/2010,85.75,90,85.25,87.5,183246
11/19/2010,88.75,88.75,85,87.5,131003
11/22/2010,87.25,88.5,85.25,86.25,40935
11/23/2010,85.5,86.25,81.25,81.25,42945
11/24/2010,82,85,78.75,83.25,380381
11/26/2010,86.25,88.75,82.5,83.75,85719
11/29/2010,85,85,77.75,82.5,123672
11/30/2010,81.25,81.25,70,75,270181
12/1/2010,75,75,72,72.5,137930
12/2/2010,72.5,72.5,66.75,72.5,98323
12/3/2010,72.5,72.5,68.5,71.75,100032
12/6/2010,70,71.75,62.5,68,351135
12/7/2010,68,68,63.75,64,73157
12/8/2010,64,64,59,60,171093
12/9/2010,60.25,62.25,55,61.25,140052
12/10/2010,64.75,64.75,60.5,62.75,142796
12/13/2010,64.75,65,62.25,62.75,57359
12/14/2010,62.75,70.75,62.5,64.5,104587
12/15/2010,63.75,63.75,61.75,62.25,64860
12/16/2010,62.5,63,59.25,60.5,72598
12/17/2010,61.25,62.5,60,60.25,1041332
12/20/2010,60,61.25,58.75,60,85174
12/21/2010,60,61.25,59.25,60,21599
12/22/2010,60,60,52.5,53.75,226154
12/23/2010,54.75,59.5,54,55.75,217639
12/27/2010,56.25,56.75,55.25,55.25,40471
12/28/2010,55.5,55.75,54,55.75,63420
12/29/2010,56.25,56.25,55.75,55.75,70900
12/30/2010,58.75,58.75,53,58,169604
12/31/2010,58.5,59.25,57.5,59,75375
1/3/2011,59,59,57.25,57.25,63214
1/4/2011,57,57,52.75,55.5,108989
1/5/2011,55.5,58,55.5,58,173392
1/6/2011,58.75,58.75,57.5,58.5,124114
1/7/2011,58.75,62.5,58.5,60,234425
1/10/2011,60,60.25,57.5,59.5,148123
1/11/2011,59.5,59.5,56.63,57,118398
1/12/2011,58.25,58.5,57,58.5,94835
1/13/2011,58.75,60,58,58.5,122103
1/14/2011,58.25,58.5,57.5,57.75,89750
1/18/2011,57.5,58,56.75,57.25,109800
1/19/2011,57.75,58,57.25,57.75,72054
1/20/2011,57.75,62.25,57.5,62.25,133036
1/21/2011,62.5,70,62.5,67.25,182004
1/24/2011,70,71,67.25,69.75,94981
1/25/2011,69.75,71,66.5,70,117863
1/26/2011,69.75,71.75,68,68.25,203283
1/27/2011,68.75,70.5,68,69.75,120128
1/28/2011,70,74.5,70,74.5,264636
1/31/2011,75,81.25,75,80,211520
2/1/2011,82.5,85.25,78.25,78.75,180042
2/2/2011,78.75,78.75,77.5,78.25,100970
2/3/2011,78.75,78.75,75,76.25,80918
2/4/2011,76.25,76.75,68,76.25,174147
2/7/2011,76.25,76.25,70,72.25,57546
2/8/2011,67.5,72.25,62.5,65,172259
2/9/2011,62.75,67,60,62.75,486794
2/10/2011,62.75,66.25,61,63.75,403705
2/11/2011,64,65,60,63.13,246637
2/14/2011,62.5,62.5,60.25,61.75,122498
2/15/2011,61.75,62,59.25,60.25,110339
2/16/2011,60.25,62,60.25,61.5,45910
2/17/2011,62,62.5,55,61,393748
2/18/2011,59,61,56.25,57.75,164941
2/22/2011,61,61,54.25,57.5,327935
2/23/2011,57.75,62.5,57.75,62.5,197375
2/24/2011,62.5,62.75,61.5,62.5,69817
2/25/2011,62.5,62.5,61.25,62.5,34685
2/28/2011,62.25,62.5,60,62.5,33276
3/1/2011,62.5,62.5,60,62.25,19218
3/2/2011,62,63.75,60,62.5,130226
3/3/2011,63,71.75,61.25,70.75,479584
3/4/2011,70,70,66.25,66.25,74641
3/7/2011,70,70,67.25,67.25,133944
3/8/2011,67.5,72.5,67.5,72.5,169523
3/9/2011,71.5,73.75,70.75,71,155089
3/10/2011,70,70.5,68.5,68.5,83656
3/11/2011,68.5,71.25,67.25,71.25,27318
3/14/2011,71.25,71.25,66.75,70.25,28303
3/15/2011,68.75,71.25,65.75,70,72426
3/16/2011,70,70,66.25,67.5,185858
3/17/2011,66.25,68.75,66.25,68.75,89260
3/18/2011,67,68.5,62.5,67.5,104494
3/21/2011,67.5,68.5,66.75,67.25,36637
3/22/2011,67.5,67.5,64,67,80033
